Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Ribosome Homo sapiens hsa03010,0.8001330262550275,1.9548338612045155,0.0,0.330669818349991,137,133,RPL15;RPL29;RPL32;RPL14;RPL39;RPL23A;RPL37A;RPL13;RPL3;RPS10;RPL4;RPL35A;RPS12;RPS20;RPSA;RPLP0;RPL12;RPL37;RPS4X;RPL24;RPS15A;RPS27;RPL7;RPS29;RPS6;RPS24;RPS14;RPL23;RPL31;RPL7A;RPS23;RPS2;RPLP1;RPL30;FAU;RPL19;RPS17;RPL18A;RPL22;RPL8;RPL5;RPS3;RPL27A;RPS27A;RPL26;UBA52;RPS28;MRPL3;MRPS10;RPL36AL;RPL36;RPS8;RPL41;RPL10;RPL6;RPS18;RPS9;RPL9;RPL38;RPS16;RPL27;RPL17;RPL13A;RPS19;RPL35;RPS7;RPS3A;RPS11;RPL18;RPS5;RPL34;RPS25;RPL11;RPS4Y2;RSL24D1;MRPL23;MRPL10;RPLP2;RPL21;RPS13;RPL36A;RPS21;RPL10A;RPS15;RPL36A-HNRNPH2;RPL10L;MRPL14;MRPS17;MRPL13;RPL28;MRPL33;RPS10-NUDT3;RPS4Y1;MRPL17;MRPL36;MRPS18A;RPS27L;MRPL15;MRPS11;MRPL30;MRPL1;MRPS16;MRPS2;MRPL24;MRPS18C;MRPL18;MRPL21;RPS26;MRPL28;MRPS12;MRPL35;MRPS6;MRPL34;MRPS15;MRPS7;MRPL20;MRPL11;MRPL32;RPL3L;MRPL12;MRPL19;MRPS21;RPL22L1;MRPL27;MRPL9;RPL26L1;MRPL16;MRPL2;MRPS14;MRPL4;MRPL22;MRPS9;MRPS5,RPL15;RPL29;RPL32;RPL14;RPL39;RPL23A;RPL37A;RPL13;RPL3;RPS10;RPL4;RPL35A;RPS12;RPS20;RPSA;RPLP0;RPL12;RPL37;RPS4X;RPL24;RPS15A;RPS27;RPL7;RPS29;RPS6;RPS24;RPS14;RPL23;RPL31;RPL7A;RPS23;RPS2;RPLP1;RPL30;FAU;RPL19;RPS17;RPL18A;RPL22;RPL8;RPL5;RPS3;RPL27A;RPS27A;RPL26;UBA52;RPS28;MRPL3;MRPS10;RPL36AL;RPL36;RPS8;RPL41;RPL10;RPL6;RPS18;RPS9;RPL9;RPL38;RPS16;RPL27;RPL17;RPL13A;RPS19;RPL35;RPS7;RPS3A;RPS11;RPL18;RPS5;RPL34;RPS25;RPL11;RPS4Y2;RSL24D1;MRPL23;MRPL10;RPLP2;RPL21;RPS13;RPL36A;RPS21;RPL10A
Long-term potentiation Homo sapiens hsa04720,-0.11723137093174382,-0.38205478790230024,0.993103448275862,0.9955485390408655,66,66,CALML5;PPP1CB;GRIN2D;RAP1B;PPP3CC;KRAS;PPP1CA;MAPK3;RPS6KA1;MAPK1;PPP3R2;PLCB1;PPP1R1A;GRM5;GRM1;ATF4;PLCB2;RAF1;RPS6KA2;PRKCB;MAP2K1;NRAS;PLCB3;GRIN1;PRKCG;EP300;ADCY8;PPP3R1;CALM3;CAMK2A;CAMK4;PPP3CB;PPP1CC;RAP1A;PPP3CA;CAMK2B;HRAS;GRIN2B;MAP2K2;RPS6KA3;PRKACG;GNAQ;CAMK2D;PRKCA;ITPR2;PRKACB;CALML3;CACNA1C;ITPR3;GRIA1;PRKACA;ADCY1;CALM1;GRIN2A;GRIN2C;ARAF;CREBBP;ITPR1;BRAF;CALM2;CALML6;RPS6KA6;GRIA2;PLCB4;CAMK2G;RAPGEF3,PPP1CC;RAP1A;PPP3CA;CAMK2B;HRAS;GRIN2B;MAP2K2;RPS6KA3;PRKACG;GNAQ;CAMK2D;PRKCA;ITPR2;PRKACB;CALML3;CACNA1C;ITPR3;GRIA1;PRKACA;ADCY1;CALM1;GRIN2A;GRIN2C;ARAF;CREBBP;ITPR1;BRAF;CALM2;CALML6;RPS6KA6;GRIA2;PLCB4;CAMK2G;RAPGEF3
Primary immunodeficiency Homo sapiens hsa05340,0.1421671594233816,0.3516755910154561,1.0,0.9977903959302176,37,36,TAP2;TNFRSF13B;TAP1;CD79A;IGLL1;CIITA;CD4;BTK;JAK3;ORAI1;PTPRC;CD19;BLNK;CD8B;IL7R;CD8A;DCLRE1C;RAG1;CD3E;IL2RG;LCK;RFXAP;CD3D;RFX5;ICOS;CD40;ADA;TNFRSF13C;AIRE;ZAP70;RFXANK;RAG2;AICDA;CD40LG;IKBKG;UNG,TAP2;TNFRSF13B;TAP1;CD79A;IGLL1;CIITA;CD4;BTK;JAK3
Pentose and glucuronate interconversions Homo sapiens hsa00040,0.4875810890487495,1.4566212785620893,0.02127659574468085,1.0,36,31,UGT2B7;ALDH1B1;UGT2A1;UGT2B28;UGT2B10;ALDH2;UGT1A6;AKR1B1;UGT2A3;SORD;AKR1B10;UGT1A1;UGT1A4;UGT1A10;UGT2B11;CRYL1;UGT2B15;AKR1A1;KL;UGT2B17;UGDH;DHDH;ALDH3A2;XYLB;RPEL1;DCXR;UGT1A9;GUSB;UGP2;UGT2B4;RPE,UGT2B7;ALDH1B1;UGT2A1;UGT2B28;UGT2B10;ALDH2;UGT1A6;AKR1B1;UGT2A3;SORD;AKR1B10;UGT1A1;UGT1A4;UGT1A10;UGT2B11;CRYL1;UGT2B15;AKR1A1
Homologous recombination Homo sapiens hsa03440,-0.6456124918232684,-1.722650708217328,0.023255813953488372,1.0,29,29,NBN;SSBP1;RAD51C;POLD4;RAD51D;POLD2;RPA1;RPA4;SHFM1;RAD54B;RPA2;BLM;RPA3;RAD50;RAD51;MUS81;RAD51B;TOP3A;MRE11A;POLD1;RAD52;POLD3;BRCA2;RAD54L;XRCC3;TOP3B;SYCP3;XRCC2;EME1,RAD54B;RPA2;BLM;RPA3;RAD50;RAD51;MUS81;RAD51B;TOP3A;MRE11A;POLD1;RAD52;POLD3;BRCA2;RAD54L;XRCC3;TOP3B;SYCP3;XRCC2;EME1
Tight junction Homo sapiens hsa04530,-0.30998486282707716,-1.388133661426996,0.044444444444444446,1.0,139,137,RHOA;YBX3;PRKCH;CTNNB1;EXOC4;ACTG1;GNAI2;CTNNA3;MYL10;HCLS1;MYH15;PARD3;KRAS;PTEN;ACTN1;MYL9;PRKCD;MYH11;JAM2;RRAS2;CSNK2A2;MYLPF;OCLN;GNAI1;MYH4;CASK;CSNK2A1;CLDN2;VAPA;ACTB;PARD6A;SHROOM2;CLDN5;RAB13;MYH9;PPP2R2D;PRKCB;MYL2;PPP2R1A;CTNNA1;PPP2CA;CDC42;CSNK2B;MYL12B;GNAI3;NRAS;F11R;MYL12A;PRKCE;TJP2;CLDN7;RRAS;AKT3;AKT1;CLDN19;CTNNA2;PRKCZ;CLDN20;PRKCG;EPB41L2;TJP1;EPB41;JAM3;ACTN3;MRAS;PPP2CB;RAB3B;CRB3;HRAS;PARD6G;CLDN17;CLDN24;MYH10;AMOTL1;PPP2R2C;PRKCA;CLDN23;MYH7;MYH6;MAGI1;CSNK2A3;CLDN3;IGSF5;CLDN1;SYMPK;MYH13;ASH1L;CTTN;YES1;CLDN6;PPP2R2B;MPDZ;CDK4;CLDN16;MPP5;EPB41L3;EPB41L1;MAGI2;PRKCI;EXOC3;PPP2R1B;SHROOM4;MYH8;SPTAN1;CLDN4;ACTN4;CLDN14;MYH1;MYL7;CLDN9;INADL;MAGI3;CLDN18;PRKCQ;SRC;CLDN10;PARD6B;MYH14;CLDN15;AKT2;SHROOM3;CLDN25;CLDN11;CGN;MYH2;TJP3;PPP2R2A;MYL5;MLLT4;CLDN8;ACTN2;LLGL2;MYH3;LLGL1;SHROOM1;TJAP1;MYH7B,MPP5;EPB41L3;EPB41L1;MAGI2;PRKCI;EXOC3;PPP2R1B;SHROOM4;MYH8;SPTAN1;CLDN4;ACTN4;CLDN14;MYH1;MYL7;CLDN9;INADL;MAGI3;CLDN18;PRKCQ;SRC;CLDN10;PARD6B;MYH14;CLDN15;AKT2;SHROOM3;CLDN25;CLDN11;CGN;MYH2;TJP3;PPP2R2A;MYL5;MLLT4;CLDN8;ACTN2;LLGL2;MYH3;LLGL1;SHROOM1;TJAP1;MYH7B
Fanconi anemia pathway Homo sapiens hsa03460,-0.6004865294517827,-1.6203378884308188,0.08,1.0,53,51,WDR48;FANCE;RAD51C;ATRIP;ERCC4;HES1;MLH1;RPA1;ERCC1;RPA4;RMI1;POLH;REV3L;SLX1B;TELO2;PMS2;FANCI;STRA13;FAN1;PALB2;RPA2;USP1;SLX1A;BLM;RPA3;FANCF;BRCA1;RAD51;ATR;MUS81;FANCG;APITD1;TOP3A;FANCM;BRIP1;POLI;POLN;BRCA2;FANCA;SLX4;FANCB;UBE2T;FANCD2;RMI2;FANCC;TOP3B;POLK;EME2;REV1;EME1;FANCL,TELO2;PMS2;FANCI;STRA13;FAN1;PALB2;RPA2;USP1;SLX1A;BLM;RPA3;FANCF;BRCA1;RAD51;ATR;MUS81;FANCG;APITD1;TOP3A;FANCM;BRIP1;POLI;POLN;BRCA2;FANCA;SLX4;FANCB;UBE2T;FANCD2;RMI2;FANCC;TOP3B;POLK;EME2;REV1;EME1;FANCL
Oocyte meiosis Homo sapiens hsa04114,-0.38537946139641904,-1.5127432960291323,0.09154929577464789,1.0,123,119,ANAPC13;CALML5;PPP1CB;RBX1;MOS;SPDYE4;ADCY9;PGR;IGF1;PPP3CC;PPP1CA;MAPK3;RPS6KA1;YWHAE;ADCY2;PPP2R5A;MAPK1;IGF1R;PPP3R2;MAD2L2;SPDYE3;REC8;CPEB4;SKP1;ANAPC11;PPP2R5C;PTTG2;YWHAQ;RPS6KA2;SMC3;BTRC;YWHAZ;PPP2R1A;PPP2CA;CUL1;FBXW11;MAP2K1;SLK;YWHAH;ADCY8;PPP3R1;PPP2R5D;CDC26;CALM3;CAMK2A;CDC27;CDC16;PPP3CB;PPP2CB;CPEB3;YWHAG;YWHAB;PPP1CC;PPP3CA;INS;CAMK2B;CDC23;SPDYC;RPS6KA3;PRKACG;CAMK2D;ITPR2;PRKACB;CALML3;ITPR3;ADCY5;PRKACA;ADCY1;SMC1A;CALM1;PPP2R5E;CPEB1;ADCY4;ADCY7;ITPR1;ANAPC10;SPDYE1;PPP2R5B;CALM2;ANAPC1;PPP2R1B;CCNE1;PTTG1;SPDYE6;ADCY3;FBXO43;CCNB2;CDK1;ANAPC7;AR;CALML6;ANAPC5;RPS6KA6;CPEB2;CDK2;FBXO5;AURKA;BUB1;CCNB1;PKMYT1;SPDYA;CCNE2;SGOL1;ESPL1;MAPK12;PLK1;CDC25C;PLCZ1;CAMK2G;ANAPC2;SPDYE2;ANAPC4;SMC1B;CDC20;MAD2L1;ADCY6;SPDYE2B;STAG3;SPDYE5,CCNE1;PTTG1;SPDYE6;ADCY3;FBXO43;CCNB2;CDK1;ANAPC7;AR;CALML6;ANAPC5;RPS6KA6;CPEB2;CDK2;FBXO5;AURKA;BUB1;CCNB1;PKMYT1;SPDYA;CCNE2;SGOL1;ESPL1;MAPK12;PLK1;CDC25C;PLCZ1;CAMK2G;ANAPC2;SPDYE2;ANAPC4;SMC1B;CDC20;MAD2L1;ADCY6;SPDYE2B;STAG3;SPDYE5
Progesterone-mediated oocyte maturation Homo sapiens hsa04914,-0.34647033786636316,-1.3368659687136764,0.11678832116788321,1.0,98,94,ANAPC13;GNAI2;PDE3B;MOS;SPDYE4;ADCY9;PIK3R1;PGR;IGF1;HSP90AB1;KRAS;MAPK3;RPS6KA1;ADCY2;PIK3CA;MAPK1;IGF1R;CCNB3;GNAI1;MAD2L2;SPDYE3;PIK3R5;CPEB4;RAF1;ANAPC11;RPS6KA2;MAD1L1;MAPK14;GNAI3;MAP2K1;PIK3CD;PIK3R2;AKT3;AKT1;ADCY8;PIK3CG;CDC26;PIK3R3;CDC27;CDC16;MAPK9;CPEB3;INS;CDC23;SPDYC;RPS6KA3;PRKACG;PIK3CB;PRKACB;MAPK8;ADCY5;MAPK13;MAPK10;CDC25A;PRKACA;ADCY1;HSP90AA1;ARAF;CPEB1;ADCY4;CCNA1;ADCY7;ANAPC10;BRAF;MAPK11;SPDYE1;ANAPC1;SPDYE6;ADCY3;CCNB2;CDK1;CDC25B;ANAPC7;ANAPC5;RPS6KA6;CPEB2;CDK2;BUB1;CCNB1;PKMYT1;SPDYA;AKT2;MAPK12;PLK1;CDC25C;FZR1;ANAPC2;SPDYE2;ANAPC4;MAD2L1;CCNA2;ADCY6;SPDYE2B;SPDYE5,SPDYE6;ADCY3;CCNB2;CDK1;CDC25B;ANAPC7;ANAPC5;RPS6KA6;CPEB2;CDK2;BUB1;CCNB1;PKMYT1;SPDYA;AKT2;MAPK12;PLK1;CDC25C;FZR1;ANAPC2;SPDYE2;ANAPC4;MAD2L1;CCNA2;ADCY6;SPDYE2B;SPDYE5
Thyroid cancer Homo sapiens hsa05216,0.38653066062859864,1.3348651882777665,0.11724137931034483,1.0,29,29,NCOA4;CTNNB1;TPM3;PPARG;KRAS;LEF1;CCND1;MAPK3;TCF7L2;MYC;MAPK1;CDH1;PAX8;NTRK1;CCDC6;MAP2K1;NRAS;TFG;RET;HRAS;RXRG;MAP2K2;RXRB;TCF7L1;BRAF;TP53;TCF7;RXRA;TPR,NCOA4;CTNNB1;TPM3;PPARG;KRAS;LEF1;CCND1;MAPK3;TCF7L2;MYC;MAPK1;CDH1;PAX8
